SampleID,Project,UID,StationCode,StreamName,SampleDate,State,Model,SiteID2,SumAve_P,Lat,Long,New_Long,New_Lat,AREA_SQKM,SITE_ELEV,ELEV_RANGE,TEMP_00_09,PPT_00_09,BDH_AVE,KFCT_AVE,P_MEAN
173347,CADWR2021,,Butt Creek 13/518SED013,Butt Creek,10/15/2019,CA,CSCI,,5211.09082,40.19432068,-121.2846527,40.194321,-121.284653,50.7159,1430.793335,934.968872,1613.099976,93364.5,1.131941676,0.143939957,0.258731157
173351,CADWR2021,,Fitzhugh DS/526PS0396,Fitzhugh Creek,6/27/2019,CA,CSCI,,5692.056152,41.378479,-120.4140472,41.378479,-120.414047,59.6313,1550.066162,803.4188232,1664.900024,36353.69922,1.332062244,0.158087656,0.268121779
173343,CADWR2021,,Fitzhugh US/526FCUS05v1,Fitzhugh Creek,10/28/2019,CA,CSCI,,5807.633789,41.38489914,-120.3910217,41.384899,-120.391022,54.4086,1565.359619,773.4157715,1608.5,39040.69922,1.326739073,0.148750171,0.26788646
173349,CADWR2021,,Fitzhugh US/526FCUS05v2,Fitzhugh Creek,8/24/2020,CA,CSCI,,5807.633789,41.38489914,-120.3910217,41.384899,-120.391022,54.4086,1565.359619,773.4157715,1608.5,39040.69922,1.326739073,0.148750171,0.26788646
173352,CADWR2021,,Fitzhugh US/526FCUS05v3,Fitzhugh Creek,6/26/2019,CA,CSCI,,5807.633789,41.38489914,-120.3910217,41.384899,-120.391022,54.4086,1565.359619,773.4157715,1608.5,39040.69922,1.326739073,0.148750171,0.26788646
173350,CADWR2021,,Red Clover Creek-Crocker Mtn./518PS0089,Red Clover Creek,6/19/2019,CA,CSCI,,3330.100098,39.92219162,-120.405983,39.922192,-120.405983,1.7757,1674.404297,294.4709473,1621.400024,45566.39844,1.495782256,0.211344004,0.203265071
173341,CADWR2021,,Sac R at Anderson RP/508SRARP1,Sacramento River,3/16/2020,CA,CSCI,,4427.256348,40.4666481,-122.2594223,40.466648,-122.259422,20041.1793,115.0750046,4195.928703,2428.899902,73493.89844,1.350389123,0.183644757,0.223953411
173340,CADWR2021,,Sac R at Bourbon Island/508SRBI01,Sacramento River,4/22/2020,CA,CSCI,,4440.422363,40.497509,-122.3396988,40.497509,-122.339699,19869.4692,124.2693558,4186.996292,2442.399902,82015.29688,1.348866701,0.183044985,0.224611521
173346,CADWR2021,,Sac R at Lake CA SC/508SRLC01,Sacramento River,4/1/2020,CA,CSCI,,4206.391113,40.34397888,-122.2067184,40.343979,-122.206718,25263.9702,99.810997,4211.188995,2412.899902,67911.60156,1.369039536,0.188435152,0.213892236
173344,CADWR2021,,Sac R at Shea Island/508SRSI01,Sacramento River,2/26/2020,CA,CSCI,,4446.253418,40.5124588,-122.365242,40.512459,-122.365242,19176.9984,128.904068,4182.195343,2456.5,84341.20313,1.343819261,0.182606518,0.225726411
173332,CADWR2021,,TC-Lower/518TCL004v1,Thompson Creek,6/18/2019,CA,CSCI,,3105.22998,39.97327042,-120.4713135,39.97327,-120.471313,7.0515,1662.971436,255.7314454,1640.199951,57561,1.483568549,0.224458933,0.19727318
173333,CADWR2021,,TC-Lower/518TCL004v2,Thompson Creek,10/17/2019,CA,CSCI,,3105.22998,39.97327042,-120.4713135,39.97327,-120.471313,7.0515,1662.971436,255.7314454,1640.199951,57561,1.483568549,0.224458933,0.19727318
173334,CADWR2021,,TC-Lower/518TCL004v3,Thompson Creek,5/20/2020,CA,CSCI,,3105.22998,39.97327042,-120.4713135,39.97327,-120.471313,7.0515,1662.971436,255.7314454,1640.199951,57561,1.483568549,0.224458933,0.19727318
173335,CADWR2021,,TC-Upper/518TCU005v1,Thompson Creek,6/18/2019,CA,CSCI,,3107.952393,39.97904968,-120.4779587,39.97905,-120.477959,6.3531,1671.529541,248.064087,1640.199951,57561,1.484671831,0.223242372,0.203381091
173336,CADWR2021,,TC-Upper/518TCU005v2,Thompson Creek,10/17/2019,CA,CSCI,,3107.952393,39.97904968,-120.4779587,39.97905,-120.477959,6.3531,1671.529541,248.064087,1640.199951,57561,1.484671831,0.223242372,0.203381091
173337,CADWR2021,,TC-Upper/518TCU005v3,Thompson Creek,5/20/2020,CA,CSCI,,3107.952393,39.97904968,-120.4779587,39.97905,-120.477959,6.3531,1671.529541,248.064087,1640.199951,57561,1.484671831,0.223242372,0.203381091
173338,CADWR2021,,Yellow Creek-2-DS/518YCDS01v1,Yellow Creek,11/1/2019,CA,CSCI,,3709.752686,40.11753845,-121.2454605,40.117538,-121.245461,88.9164,1304.813599,886.0279541,1699.300049,97592.79688,1.373894334,0.17920956,0.209758028
173339,CADWR2021,,Yellow Creek-2-DS/518YCDS01v2,Yellow Creek,7/8/2020,CA,CSCI,,3709.752686,40.11753845,-121.2454605,40.117538,-121.245461,88.9164,1304.813599,886.0279541,1699.300049,97592.79688,1.373894334,0.17920956,0.209758028
173342,CADWR2021,,Yellow-1-US/518YCUS01v1,Yellow Creek,9/29/2020,CA,CSCI,,3690.059326,40.15019989,-121.270401,40.1502,-121.270401,9.0369,1325.378296,509.7437745,1653.300049,90890.20313,1.463760972,0.201132789,0.214926347
173345,CADWR2021,,Yellow-1-US/518YCUS01v2,Yellow Creek,10/2/2019,CA,CSCI,,3690.059326,40.15019989,-121.270401,40.1502,-121.270401,9.0369,1325.378296,509.7437745,1653.300049,90890.20313,1.463760972,0.201132789,0.214926347
173348,CADWR2021,,Yellow-1-US/518YCUS01v3,Yellow Creek,7/14/2020,CA,CSCI,,3690.059326,40.15019989,-121.270401,40.1502,-121.270401,9.0369,1325.378296,509.7437745,1653.300049,90890.20313,1.463760972,0.201132789,0.214926347
